pre_gained,pre_mins,pre_hours,temp,grad_mean,dur,length,vam,kph,score,pre_score,cat
1357,200,3,12.0,3,138,575,495,15.0,1725,54206,-
1391,206,3,12.0,6,145,424,670,10.5,2544,55931,-
1440,211,3,11.0,3,213,584,321,9.8,1752,58475,-
1460,214,3,11.0,1,75,395,336,18.9,395,60227,-
1572,239,3,11.0,3,87,242,331,10.0,726,60622,-
1628,245,4,11.0,3,67,283,483,15.2,849,61348,-
1661,249,4,11.0,3,84,155,257,6.6,465,62197,-
1672,251,4,11.0,4,195,503,443,9.2,2012,62662,-
1700,255,4,11.0,2,71,270,354,13.6,540,64674,-
1748,259,4,11.0,4,60,168,480,10.0,672,65214,-
33,3,0,11.0,1,105,723,411,24.7,723,0,-
49,5,0,11.0,4,71,321,709,16.2,1284,723,-
76,8,0,11.0,2,105,699,548,23.9,1398,2007,-
186,19,0,11.0,2,182,1050,593,20.7,2100,3405,-
262,26,0,11.0,4,128,563,675,15.8,2252,5505,-
292,29,0,10.627118644067796,3,100,419,504,15.0,1257,7757,-
425,42,0,10.0,4,60,332,840,19.9,1328,9014,-
441,43,0,10.0,2,67,317,483,17.0,634,10342,-
486,50,0,10.0,5,71,360,912,18.2,1800,10976,-
556,59,0,10.26595744680851,1,93,663,387,25.6,663,12776,-
580,60,1,11.0,1,85,531,338,22.4,531,13439,-
659,73,1,11.0,2,109,379,297,12.5,758,13970,-
689,76,1,11.0,5,184,597,684,11.6,2985,14728,-
728,80,1,11.0,4,202,765,552,13.6,3060,17713,-
760,83,1,11.0,4,105,351,582,12.0,1404,20773,-
794,86,1,11.0,5,238,749,635,11.3,3745,22177,-
854,92,1,11.0,3,157,428,321,9.8,1284,25922,-
913,101,1,11.0,4,142,329,354,8.3,1316,27206,-
944,108,1,11.0,3,86,381,627,15.9,1143,28522,-
961,110,1,11.0,4,367,1286,617,12.6,5144,29665,-
1026,119,1,11.0,4,202,678,534,12.0,2712,34809,-
1068,128,2,11.0,2,104,513,519,17.7,1026,37521,-
1087,131,2,11.0,2,133,585,378,15.8,1170,38547,-
1106,133,2,11.0,7,316,794,649,9.0,5558,39717,-
1183,143,2,11.0,9,622,1082,607,6.2,9738,45275,4
1286,154,2,11.0,6,73,207,641,10.2,1242,55013,-
1301,155,2,11.0,4,1015,2228,372,7.9,8912,56255,4
1410,173,2,11.0,1,86,241,125,10.0,241,65167,-
1592,212,3,11.0,1,63,391,285,22.3,391,65408,-
1605,214,3,11.0,3,78,388,600,17.9,1164,65799,-
1638,216,3,11.0,3,70,388,668,19.9,1164,66963,-
1733,228,3,11.0,4,198,707,618,12.8,2828,68127,-
1771,233,3,11.0,2,110,720,523,23.5,1440,70955,-
1796,237,3,11.0,7,550,1058,497,6.9,7406,72395,-
1875,246,4,11.0,4,98,343,624,12.6,1372,79801,-
1909,251,4,11.0,1,82,617,395,27.0,617,81173,-
1923,252,4,11.0,3,247,928,510,13.5,2784,81790,-
1985,283,4,11.0,3,239,723,406,10.8,2169,84574,-
2027,291,4,11.0,2,60,294,420,17.6,588,86743,-
2038,292,4,11.0,2,70,395,411,20.3,790,87331,-
2067,301,5,11.0,6,560,878,347,5.6,5268,88121,-
2138,313,5,11.0,4,89,334,566,13.5,1336,93389,-
2172,321,5,11.0,4,279,931,567,12.0,3724,94725,-
2231,328,5,11.0,1,98,601,330,22.0,601,98449,-
2247,331,5,11.0,4,126,451,600,12.8,1804,99050,-
2285,335,5,11.0,2,80,379,405,17.0,758,100854,-
2305,336,5,11.0,5,297,617,424,7.4,3085,101612,-
2349,353,5,14.0,5,157,499,664,11.4,2495,104697,-
2392,359,5,14.0,3,111,487,583,15.7,1461,107192,-
2422,363,6,14.0,5,549,1501,563,9.8,7505,108653,-
2522,372,6,14.0,8,73,187,739,9.2,1496,116158,-
2536,374,6,14.0,5,1162,2917,477,9.0,14585,117654,4
2702,396,6,14.0,6,99,282,618,10.2,1692,132239,-
2767,411,6,14.0,3,68,256,529,13.5,768,133931,-
2802,419,6,14.0,9,129,241,669,6.7,2169,134699,-
2823,425,7,14.0,6,72,145,450,7.2,870,136868,-
2884,437,7,14.0,0,68,131,52,6.9,0,137738,-
2887,438,7,14.0,1,77,343,280,16.0,343,137738,-
2904,442,7,14.0,5,72,139,350,6.9,695,138081,-
2917,445,7,14.0,2,102,278,211,9.8,556,138776,-
2947,450,7,14.0,4,92,252,430,9.8,1008,139332,-
5,1,0,3.0,7,499,1199,634,8.6,8393,0,4
118,13,0,3.0,9,347,710,695,7.3,6390,8393,-
197,22,0,3.0,8,454,824,547,6.5,6592,14783,-
279,32,0,3.0,8,342,795,705,8.3,6360,21375,-
363,41,0,3.0,8,402,805,617,7.2,6440,27735,-
436,50,0,3.0,8,400,793,612,7.1,6344,34175,-
503,58,0,3.7872340425531914,8,392,837,615,7.6,6696,40519,-
4,1,0,5.0,7,79,262,911,11.9,1834,0,-
58,5,0,5.0,4,132,488,600,13.3,1952,1834,-
87,8,0,5.0,6,121,379,743,11.2,2274,3786,-
115,10,0,5.0,4,517,1548,536,10.7,6192,6060,-
196,19,0,5.0,3,201,795,519,14.2,2385,12252,-
227,23,0,4.936073059360731,4,416,1493,631,12.9,5972,14637,-
304,30,0,3.0,4,579,1968,572,12.2,7872,20609,-
418,43,0,3.0,4,222,839,632,13.6,3356,28481,-
481,54,0,3.0,4,315,764,400,8.7,3056,31837,-
525,60,1,3.0,7,175,402,617,8.2,2814,34893,-
559,64,1,3.0,3,96,316,450,11.8,948,37707,-
617,74,1,3.0,3,325,1171,498,12.9,3513,38655,-
670,80,1,3.0,4,209,643,551,11.0,2572,42168,-
704,84,1,3.3655172413793104,3,583,2105,438,12.9,6315,44740,-
827,102,1,4.0,7,158,365,615,8.3,2555,51055,-
928,116,1,4.0,4,104,371,588,12.8,1484,53610,-
997,123,2,4.923076923076923,4,98,239,367,8.7,956,55094,-
1065,130,2,5.0,5,96,311,600,11.6,1555,56050,-
3,0,0,12.0,4,82,244,482,10.7,976,0,-
22,2,0,12.0,3,204,915,547,16.1,2745,976,-
79,7,0,12.0,4,65,271,609,15.0,1084,3721,-
118,11,0,12.0,7,97,250,705,9.2,1750,4805,-
140,13,0,12.0,6,311,887,717,10.2,5322,6555,-
377,38,0,11.0,3,214,1012,571,17.0,3036,11877,-
441,47,0,11.0,5,102,361,670,12.7,1805,14913,-
469,49,0,11.0,6,371,1013,659,9.8,6078,16718,-
534,55,0,11.0,4,177,572,569,11.6,2288,22796,-
562,58,0,10.69767441860465,4,155,286,301,6.6,1144,25084,-
579,62,1,10.0,2,119,538,363,16.2,1076,26228,-
592,64,1,10.0,1,168,725,278,15.5,725,27304,-
612,67,1,10.0,3,101,371,427,13.2,1113,28029,-
626,69,1,10.0,2,96,384,337,14.4,768,29142,-
665,76,1,10.0,2,483,1822,365,13.5,3644,29910,-
741,88,1,9.830508474576272,5,138,381,547,9.9,1905,33554,-
775,93,1,9.0,4,69,309,730,16.1,1236,35459,-
790,94,1,9.0,3,173,656,541,13.6,1968,36695,-
851,102,1,9.0,3,66,345,654,18.8,1035,38663,-
886,107,1,9.0,3,102,492,635,17.3,1476,39698,-
925,111,1,9.0,3,143,717,553,18.0,2151,41174,-
956,115,1,9.0,4,72,336,700,16.8,1344,43325,-
1016,125,2,11.0,3,102,481,600,16.9,1443,44669,-
1046,128,2,11.0,3,63,224,400,12.7,672,46112,-
1112,142,2,11.0,3,80,146,225,6.5,438,46784,-
1331,169,2,12.0,5,64,253,731,14.2,1265,47222,-
1343,170,2,12.0,5,106,345,611,11.7,1725,48487,-
3,0,0,15.0,6,94,286,727,10.9,1716,0,-
21,2,0,15.0,5,63,197,628,11.2,985,1716,-
66,5,0,15.0,6,80,251,765,11.2,1506,2701,-
83,7,0,15.0,6,148,431,656,10.4,2586,4207,-
113,10,0,15.0,5,470,1360,551,10.4,6800,6793,-
194,19,0,15.0,3,600,2195,522,13.1,6585,13593,-
302,29,0,15.0,5,650,1894,537,10.4,9470,20178,4
414,44,0,15.0,4,210,876,617,15.0,3504,29648,-
476,52,0,15.0,4,253,785,483,11.1,3140,33152,-
513,57,0,15.228571428571428,7,182,418,632,8.2,2926,36292,-
548,61,1,16.0,4,87,319,620,13.2,1276,39218,-
568,65,1,16.0,1,104,171,103,5.9,171,40494,-
610,71,1,16.0,4,212,720,560,12.2,2880,40665,-
650,74,1,16.0,4,153,491,564,11.5,1964,43545,-
680,77,1,16.0,8,68,204,952,10.7,1632,45509,-
695,78,1,16.0,2,291,968,358,11.9,1936,47141,-
735,83,1,16.0,4,245,590,352,8.6,2360,49077,-
762,87,1,16.0,2,215,890,435,14.9,1780,51437,-
821,96,1,16.0,7,323,617,490,6.8,4319,53217,-
948,111,1,16.0,10,324,629,700,6.9,6290,57536,-
1016,118,1,16.0,9,401,822,682,7.3,7398,63826,-
1127,132,2,17.0,2,101,546,499,19.4,1092,71224,-
1175,140,2,17.0,6,120,322,600,9.6,1932,72316,-
1208,144,2,17.0,8,62,179,870,10.3,1432,74248,-
1225,145,2,17.0,7,411,986,613,8.6,6902,75680,-
1300,152,2,17.0,6,171,522,694,10.9,3132,82582,-
1333,155,2,17.0,3,198,796,490,14.4,2388,85714,-
1361,158,2,17.0,5,236,739,625,11.2,3695,88102,-
1449,170,2,17.0,3,60,300,600,18.0,900,91797,-
1499,177,2,17.0,5,172,516,586,10.7,2580,92697,-
1585,185,3,17.0,0,79,412,182,18.7,0,95277,-
1620,190,3,17.955882352941178,9,490,809,543,5.9,7281,95277,-
1706,201,3,18.0,2,67,289,429,15.5,578,102558,-
1717,203,3,18.0,7,114,303,726,9.5,2121,103136,-
1747,208,3,18.0,8,551,1043,568,6.8,8344,105257,4
1,0,0,18.0,7,77,202,701,9.4,1414,0,-
15,1,0,18.0,5,91,156,356,6.1,780,1414,-
23,3,0,18.0,5,396,1241,600,11.2,6205,2194,-
108,11,0,18.0,5,223,751,613,12.1,3755,8399,-
161,15,0,18.0,6,691,1904,599,9.9,11424,12154,4
283,27,0,18.0,6,116,290,589,9.0,1740,23578,-
302,29,0,16.2,5,106,350,611,11.8,1750,25318,-
325,31,0,15.0,2,86,169,167,7.0,338,27068,-
343,38,0,15.0,11,117,216,738,6.6,2376,27406,-
54,8,0,21.0,2,60,91,120,5.4,182,0,-
70,10,0,21.0,3,66,101,218,5.5,303,182,-
149,20,0,21.0,2,66,360,490,19.6,720,485,-
168,23,0,21.0,2,103,220,174,7.6,440,1205,-
193,28,0,21.0,2,73,293,345,14.4,586,1645,-
232,31,0,21.0,4,107,385,538,12.9,1540,2231,-
261,34,0,21.0,10,138,352,991,9.1,3520,3771,-
307,40,0,21.0,4,578,1328,411,8.2,5312,7291,-
398,52,0,21.0,2,144,696,450,17.4,1392,12603,-
428,55,0,21.0,5,103,375,664,13.1,1875,13995,-
449,57,0,21.0,4,69,285,730,14.8,1140,15870,-
486,61,1,20.0,5,354,756,416,7.6,3780,17010,-
529,68,1,20.0,4,261,756,441,10.4,3024,20790,-
569,74,1,20.0,3,213,921,473,15.5,2763,23814,-
603,77,1,20.0,3,106,524,611,17.7,1572,26577,-
638,81,1,20.0,1,79,490,318,22.3,490,28149,-
715,96,1,20.0,4,66,295,763,16.0,1180,28639,-
730,97,1,20.0,7,113,315,764,10.0,2205,29819,-
756,99,1,20.0,3,100,236,324,8.4,708,32024,-
778,105,1,20.0,5,159,513,633,11.6,2565,32732,-
881,120,2,20.0,9,670,1034,548,5.5,9306,35297,4
969,131,2,20.0,7,142,408,811,10.3,2856,44603,-
1000,134,2,20.0,3,78,311,553,14.3,933,47459,-
1016,135,2,20.0,9,241,504,731,7.5,4536,48392,-
1064,140,2,20.0,4,245,809,528,11.8,3236,52928,-
154,21,0,12.0,2,72,386,400,19.3,772,0,-
244,30,0,13.0,2,100,590,612,21.2,1180,772,-
337,37,0,13.0,3,135,558,560,14.8,1674,1952,-
360,40,0,13.0,4,60,348,840,20.8,1392,3626,-
385,41,0,13.0,4,75,369,720,17.7,1476,5018,-
447,48,0,13.0,3,78,350,600,16.1,1050,6494,-
469,51,0,13.0,4,97,457,705,16.9,1828,7544,-
528,56,0,13.0,6,79,262,820,11.9,1572,9372,-
25,9,0,13.0,3,62,229,522,13.2,687,0,-
47,12,0,13.0,4,202,816,588,14.5,3264,687,-
93,17,0,13.0,2,66,364,545,19.8,728,3951,-
116,20,0,13.0,4,302,1137,572,13.5,4548,4679,-
168,25,0,13.0,1,69,462,313,24.1,462,9227,-
191,29,0,13.0,4,83,331,650,14.3,1324,9689,-
218,36,0,14.0,8,320,769,720,8.6,6152,11013,-
278,42,0,14.0,4,149,559,579,13.5,2236,17165,-
311,46,0,14.0,6,95,274,682,10.3,1644,19401,-
332,48,0,14.0,5,122,366,619,10.7,1830,21045,-
391,64,1,15.0,3,93,367,541,14.2,1101,22875,-
462,79,1,15.0,5,498,1370,549,9.9,6850,23976,-
550,89,1,15.0,3,120,181,180,5.4,543,30826,-
579,95,1,15.0,1,69,414,365,21.6,414,31369,-
587,96,1,15.0,5,127,290,453,8.2,1450,31783,-
603,99,1,15.0,5,382,1031,537,9.7,5155,33233,-
668,107,1,15.0,4,62,250,580,14.5,1000,38388,-
681,108,1,15.0,3,101,380,499,13.5,1140,39388,-
700,111,1,15.0,3,90,338,480,13.5,1014,40528,-
717,113,1,15.0,2,159,324,203,7.3,648,41542,-
727,116,1,15.0,1,96,541,375,20.2,541,42190,-
779,123,2,15.0,2,242,797,282,11.8,1594,42731,-
827,132,2,15.0,3,292,1054,468,12.9,3162,44325,-
873,138,2,15.0,8,114,237,663,7.4,1896,47487,-
894,140,2,15.0,6,63,194,742,11.0,1164,49383,-
913,141,2,15.0,6,148,380,583,9.2,2280,50547,-
939,144,2,15.0,3,288,855,375,10.6,2565,52827,-
978,149,2,15.0,5,261,581,413,8.0,2905,55392,-
1012,154,2,15.0,4,520,1519,519,10.5,6076,58297,-
1095,163,2,15.0,2,227,695,285,11.0,1390,64373,-
1140,170,2,15.0,3,266,929,487,12.5,2787,65763,-
1191,177,2,15.0,1,62,505,406,29.3,505,68550,-
1202,181,3,15.0,3,206,594,349,10.3,1782,69055,-
1232,187,3,15.0,5,137,440,578,11.5,2200,70837,-
1256,189,3,15.0,5,528,1224,449,8.3,6120,73037,-
1355,212,3,15.0,7,550,1196,569,7.8,8372,79157,4
1444,223,3,15.0,6,203,524,585,9.2,3144,87529,-
1501,256,4,15.0,5,113,279,446,8.8,1395,90673,-
1530,259,4,15.0,3,67,284,483,15.2,852,92068,-
1545,261,4,15.0,5,716,1911,532,9.6,9555,92920,4
1656,273,4,15.0,2,99,483,509,17.5,966,102475,-
1696,278,4,15.0,2,92,530,586,20.7,1060,103441,-
1724,285,4,15.0,5,450,1122,472,8.9,5610,104501,-
1819,299,4,15.0,5,167,385,495,8.2,1925,110111,-
1839,303,5,15.0,3,108,433,500,14.4,1299,112036,-
1862,307,5,15.0,5,272,743,516,9.8,3715,113335,-
1903,313,5,15.0,4,135,401,453,10.6,1604,117050,-
1927,316,5,15.0,6,242,640,580,9.5,3840,118654,-
2021,329,5,15.0,8,469,702,468,5.3,5616,122494,-
2081,339,5,15.0,4,232,693,496,10.7,2772,128110,-
2113,343,5,15.0,4,275,715,418,9.3,2860,130882,-
2147,349,5,15.0,6,71,189,608,9.5,1134,133742,-
2176,355,5,15.0,5,106,341,645,11.5,1705,134876,-
2227,372,6,15.0,5,266,749,568,10.1,3745,136581,-
2293,381,6,15.0,1,62,397,406,23.0,397,140326,-
2303,383,6,15.0,1,101,530,285,18.8,530,140723,-
2320,385,6,15.0,3,91,393,474,15.5,1179,141253,-
2344,388,6,15.0,1,76,420,236,19.8,420,142432,-
2351,390,6,15.0,2,189,795,361,15.1,1590,142852,-
2378,393,6,15.0,2,114,519,442,16.3,1038,144442,-
2441,405,6,15.0,3,80,322,450,14.4,966,145480,-
2469,408,6,15.0,2,277,1019,376,13.2,2038,146446,-
2538,418,6,15.0,2,69,318,469,16.5,636,148484,-
2612,429,7,15.0,3,169,380,319,8.0,1140,149120,-
2663,438,7,15.0,1,68,431,264,22.8,431,150260,-
2721,456,7,15.0,5,93,354,696,13.7,1770,150691,-
2758,460,7,15.0,6,196,505,587,9.2,3030,152461,-
2792,464,7,15.0,3,68,248,476,13.1,744,155491,-
2803,465,7,15.0,5,90,293,600,11.7,1465,156235,-
2829,468,7,15.0,4,485,1229,423,9.1,4916,157700,-
2946,488,8,15.0,1,85,452,338,19.1,452,162616,-
2989,494,8,15.0,3,348,921,310,9.5,2763,163068,-
3036,500,8,15.0,3,301,875,382,10.4,2625,165831,-
3100,509,8,15.0,4,109,344,561,11.3,1376,168456,-
3134,513,8,15.0,4,114,386,536,12.1,1544,169832,-
3191,538,8,15.0,3,105,400,411,13.7,1200,171376,-
3210,541,9,15.0,4,118,388,488,11.8,1552,172576,-
3247,546,9,15.0,3,88,324,450,13.2,972,174128,-
3264,549,9,15.0,3,876,2534,345,10.4,7602,175100,-
3359,563,9,15.0,3,278,881,388,11.4,2643,182702,-
3451,583,9,15.0,4,102,363,529,12.8,1452,185345,-
3492,588,9,15.0,4,344,950,429,9.9,3800,186797,-
3565,606,10,15.0,6,158,438,637,9.9,2628,190597,-
3591,608,10,15.0,5,191,405,452,7.6,2025,193225,-
3625,612,10,15.0,6,1697,3476,487,7.3,20856,195250,3
3849,641,10,15.0,2,75,324,336,15.5,648,216106,-
3858,643,10,15.0,6,111,294,583,9.5,1764,216754,-
3885,647,10,15.0,6,91,189,514,7.4,1134,218518,-
3900,649,10,15.0,4,91,338,553,13.3,1352,219652,-
3920,655,10,15.0,6,356,673,465,6.8,4038,221004,-
3981,663,11,15.0,6,175,343,432,7.0,2058,225042,-
4019,667,11,15.0,3,79,273,455,12.4,819,227100,-
4029,669,11,15.0,2,80,335,450,15.0,670,227919,-
4042,671,11,15.0,7,298,559,519,6.7,3913,228589,-
4085,677,11,15.0,7,151,297,548,7.0,2079,232502,-
4112,680,11,15.0,7,246,529,585,7.7,3703,234581,-
4177,687,11,15.0,2,67,367,537,19.7,734,238284,-
4188,688,11,15.0,2,88,432,450,17.6,864,239018,-
4203,689,11,15.0,4,769,2105,472,9.8,8420,239882,4
4307,708,11,15.0,4,98,246,404,9.0,984,248302,-
4335,713,11,15.0,4,138,431,495,11.2,1724,249286,-
4354,716,11,15.0,1,72,290,250,14.4,290,251010,-
4367,722,12,15.0,3,80,321,450,14.4,963,251300,-
4400,728,12,15.0,2,89,414,364,16.7,828,252263,-
4411,731,12,15.0,5,135,242,373,6.4,1210,253091,-
4436,735,12,15.0,2,343,884,209,9.2,1768,254301,-
4484,746,12,15.0,3,134,428,429,11.4,1284,256069,-
4501,748,12,15.0,4,648,1240,333,6.8,4960,257353,-
10,2,0,12.0,3,103,406,559,14.1,1218,0,-
41,6,0,12.0,4,72,281,600,14.0,1124,1218,-
55,9,0,12.0,3,70,317,565,16.3,951,2342,-
87,15,0,12.0,2,88,382,409,15.6,764,3293,-
128,26,0,12.0,4,290,512,273,6.3,2048,4057,-
230,41,0,12.0,3,351,523,205,5.3,1569,6105,-
278,50,0,12.0,3,80,309,450,13.9,927,7674,-
314,54,0,12.0,5,144,425,625,10.6,2125,8601,-
356,59,0,12.0,5,112,345,578,11.0,1725,10726,-
700,110,1,12.0,4,75,269,576,12.9,1076,12451,-
722,113,1,12.0,3,166,592,455,12.8,1776,13527,-
757,117,1,12.0,1,69,293,208,15.2,293,15303,-
789,123,2,12.0,1,60,99,60,5.9,99,15596,-
794,124,2,12.0,2,146,616,394,15.1,1232,15695,-
848,134,2,12.0,5,75,142,384,6.8,710,16927,-
0,0,0,15.0,5,777,1559,384,7.2,7795,0,-
86,13,0,15.0,1,77,164,140,7.6,164,7795,-
95,15,0,15.0,5,141,479,612,12.2,2395,7959,-
119,17,0,15.0,5,164,454,504,9.9,2270,10354,-
145,20,0,14.337931034482759,5,715,1841,548,9.2,9205,12624,4
253,32,0,12.0,5,191,509,565,9.5,2545,21829,-
284,35,0,12.0,2,86,387,460,16.2,774,24374,-
24,2,0,19.0,6,627,1763,654,10.1,10578,0,4
143,13,0,19.0,4,469,1750,575,13.4,7000,10578,-
222,21,0,19.0,11,65,179,1107,9.9,1969,17578,-
249,23,0,19.0,5,152,624,757,14.7,3120,19547,-
294,28,0,19.0,2,78,331,415,15.2,662,22667,-
362,39,0,18.0,6,61,157,590,9.2,942,23329,-
405,43,0,18.0,2,106,503,509,17.0,1006,24271,-
441,47,0,18.0,6,95,400,909,15.1,2400,25277,-
9,3,0,17.0,3,77,239,374,11.1,717,0,-
21,5,0,17.0,1,70,275,257,14.1,275,717,-
38,7,0,17.0,0,73,436,147,21.5,0,992,-
153,25,0,17.0,0,119,397,90,12.0,0,992,-
196,32,0,18.0,1,60,372,240,22.3,372,992,-
235,39,0,18.0,1,91,464,316,18.3,464,1364,-
249,41,0,18.0,2,66,298,327,16.2,596,1828,-
265,45,0,18.0,1,127,212,85,6.0,212,2424,-
272,48,0,18.0,2,93,463,387,17.9,926,2636,-
307,54,0,18.0,1,61,367,413,21.6,367,3562,-
369,61,1,19.0,1,102,351,211,12.3,351,3929,-
438,72,1,19.0,2,117,560,369,17.2,1120,4280,-
461,76,1,19.0,1,101,494,178,17.6,494,5400,-
480,80,1,19.0,2,121,506,416,15.0,1012,5894,-
498,83,1,19.0,2,61,326,472,19.2,652,6906,-
521,86,1,19.0,2,63,345,457,19.7,690,7558,-
552,89,1,18.418181818181818,1,64,364,393,20.4,364,8248,-
628,108,1,18.0,1,150,724,240,17.3,724,8612,-
666,115,1,18.0,2,84,403,471,17.2,806,9336,-
678,118,1,18.0,3,87,358,579,14.8,1074,10142,-
697,120,2,18.0,0,62,321,174,18.6,0,11216,-
704,121,2,18.0,2,140,660,385,16.9,1320,11216,-
733,127,2,18.0,1,81,445,222,19.7,445,12536,-
744,129,2,18.0,1,135,672,240,17.9,672,12981,-
765,133,2,18.0,2,127,577,368,16.3,1154,13653,-
809,141,2,18.0,3,103,291,314,10.1,873,14807,-
857,146,2,18.0,5,100,180,360,6.4,900,15680,-
897,211,3,19.0,5,156,367,507,8.4,1835,16580,-
968,221,3,19.0,3,90,381,520,15.2,1143,18415,-
986,223,3,19.0,3,121,511,565,15.2,1533,19558,-
1021,229,3,19.0,4,86,349,627,14.6,1396,21091,-
1052,234,3,19.0,3,106,518,543,17.5,1554,22487,-
1082,236,3,19.0,3,145,654,521,16.2,1962,24041,-
1193,251,4,19.0,2,63,355,514,20.2,710,26003,-
1219,257,4,19.0,1,75,422,384,20.2,422,26713,-
1251,262,4,19.014492753623188,1,67,481,376,25.8,481,27135,-
1320,270,4,20.0,3,69,170,313,8.8,510,27616,-
1463,299,4,20.0,2,91,510,435,20.1,1020,28126,-
1501,304,5,20.0,3,67,377,752,20.2,1131,29146,-
1699,348,5,19.0,1,69,385,365,20.0,385,30277,-
1723,351,5,19.0,0,89,602,121,24.3,0,30662,-
1764,359,5,20.0,0,83,512,173,22.2,0,30662,-
1875,380,6,20.0,3,77,195,327,9.1,585,30662,-
1970,395,6,20.0,3,108,161,166,5.3,483,31247,-
2032,405,6,20.0,2,132,203,163,5.5,406,31730,-
2040,408,6,20.0,1,80,331,270,14.8,331,32136,-
